a0,b1
t6_executioner_up,extbarrel
t6_kap40_up,dualclip_bo2
t6_fiveseven_up,dualclip_bo2
t6_b23r,extclip_b23r
t6_b23r_up,dualclip_bo2 extclip_b34r
t6_chicom_cqb_up,reflex grip_bo2 dualclip_bo2 sf_bo2
t6_rem870mcs_up,reflex
t6_s12_up,reflex extbarrel
t6_m1216_up,reflex extbarrel
t6_m8a1_up,reflex longbreath_bo2
t6_type25_up,reflex longbreath_bo2
t6_mtar_up,reflex longbreath_bo2 gl_bo2
t6_hamr_up,reflex grip_bo2 acog
t6_m27_up,reflex longbreath_bo2
t6_lsat_up,reflex grip_bo2 acog
t6_pdw57_up,reflex
t6_ballista_up,acog is_bo2
t6_skorpion_evo_up,reflex dualclip_bo2
t6_scarh_up,reflex dualclip_bo2 acog
