weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments,
t4_ar_gewehr43,t4_ar_gewehr43_upgraded,,600,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t4_ar_kar98k,t4_ar_kar98k_upgraded,,200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t4_ar_m1carbine,t4_ar_m1carbine_upgraded,,600,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t4_ar_m1garand,t4_ar_m1garand_upgraded,,600,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,rifle,,,,
t4_lmg_mg42,t4_lmg_mg42_upgraded,,3000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,lmg,,,,
t4_lmg_fg42,t4_lmg_fg42_upgraded,,1500,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,lmg,,,,
t4_lmg_30cal,t4_lmg_30cal_upgraded,,3000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,lmg,,,,
t4_lmg_bar,t4_lmg_bar_upgraded,,1800,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,lmg,,,,
t4_shotgun_doublebarrel,t4_shotgun_doublebarrel_upgraded,,1200,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,shotgun,,,,
t4_shotgun_trenchgun,t4_shotgun_trenchgun_upgraded,,1500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,shotgun,,,,
t4_sniper_ptrs41,t4_sniper_ptrs41_upgraded,,750,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,sniper,,,,
