weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
derriese_bouncingbetty,,,1000,betty,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
cymbal_monkey,cymbal_monkey_upgraded,,2000,monkey,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
cymbal_monkey_upgraded,,,5000,monkey,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
frag_grenade,,,250,grenade,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
sticky_grenade,,,250,grenade,,250,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
knife,,,0,,,0,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
classic_bowie_knife,,,3000,wpck_bowie,,,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
t4_ray_gun,t4_ray_gun_up,,10000,wpck_ray,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,
tesla_gun,tesla_gun_upgraded,,10000,tesla,,,,,TRUE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,
t4_m1911,t4_m1911_up,,100,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
t5_m1911,t5_m1911_rdw_up,,300,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,TRUE,,
s2_kar98k_irons,s2_kar98k_irons_upgraded,,200,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,sniper,TRUE,,
s2_m30,s2_m30_upgraded,,1200,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,TRUE,,
t8_m1897,t8_m1897_upgraded,,1500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,TRUE,,
s2_mp40,s2_mp40_upgraded,,1000,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,TRUE,,
s2_thompsonm1a1,s2_thompsonm1a1_upgraded,,1200,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,TRUE,,
s2_type100,s2_type100_upgraded,,1000,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,TRUE,,
s2_stg44,s2_stg44_upgraded,,1200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,TRUE,,
s2_m1a1carbine,s2_m1a1carbine_upgraded,,600,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,TRUE,,
s2_fg42,s2_fg42_upgraded,,1500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,TRUE,,
s2_gewehr43,s2_gewehr43_upgraded,,600,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,TRUE,,
t4_kar98k,t4_kar98k_up,,200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
t4_carbine,t4_carbine_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_g43,t4_g43_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_mp44,t4_mp44_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_type100,t4_type100_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_thompson,t4_thompson_up,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_fg42,t4_fg42_up,,1800,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_m1897,t4_m1897_up,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
t4_db,t4_db_up,,1200,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
t4_m1,t4_m1_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_m1garand_rg,t4_m1garand_rg_up,,2250,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_bar,t4_bar_up,,1800,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_m1919,t4_m1919_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_mg42,t4_mg42_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_mp40,t4_mp40_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_ppsh,t4_ppsh_up,,2500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_ptrs,t4_ptrs_up,,2000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_357,t4_357_up,,1500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
t4_panzerschreck,t4_panzerschreck_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
