weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
#Call of the Dead,,,,,,,,,,,,,,,,,,,
cymbal_monkey,,,2000,monkey,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
frag_grenade_potato_masher,,,250,grenade,,250,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
knife,,,0,,,0,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
bowie_knife,,,3000,wpck_bowie,,,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
ray_gun,ray_gun_upgraded,,10000,raygun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,
tesla_gun,tesla_gun_upgraded,,10000,tesla,,,,,TRUE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,
scavenger,scavenger_up,,10000,ubersniper,,,,,TRUE,FALSE,TRUE,,,FALSE,TRUE,special,TRUE,TRUE,
humangun,humangun_up,,10000,humangun,,,,,TRUE,FALSE,TRUE,,,FALSE,TRUE,special,TRUE,TRUE,
sickle,,,3000,wpck_sickle,,,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
nesting_dolls,,,2000,dolls,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
sticky_grenade,,,250,wpck_bowie,,,,,FALSE,FALSE,,,,FALSE,FALSE,grenade,,,
claymore,,,1000,claymore,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,,,
#TrustInUma's DER RIESE,,,,,,,,,,,,,,,,,,,
bouncingbetty,,,1000,betty,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
#dump absolutely everything here,,,,,,,,,,,,,,,,,,,
t4_m1911,t4_m1911_camo_up,,100,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,TRUE,,
t5_m1911,t5_m1911_rdw_up,,300,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,TRUE,,
t4_kar98k,t4_kar98k_camo_up,,200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_carbine,t4_carbine_camo_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_g43,t4_g43_camo_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_mp44,t4_mp44_camo_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_type100,t4_type100_camo_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_thompson,t4_thompson_camo_up,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_fg42,t4_fg42_camo_up,,1800,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_m1897,t4_m1897_camo_up,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
t4_db,t4_db_camo_up,,1200,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
t4_m1,t4_m1_camo_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_m1garand_rg,t4_m1garand_rg_up,,2250,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_bar,t4_bar_camo_up,,1800,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_bar_bipod,t4_bar_bipod_camo_up,,2500,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_m1919,t4_m1919_camo_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_m1919_bipod,t4_m1919_bipod_camo_up,,3000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_mg42,t4_mg42_camo_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_mg42_bipod,t4_mg42_bipod_camo_up,,3000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_mp40,t4_mp40_camo_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_ppsh,t4_ppsh_camo_up,,2500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_ptrs,t4_ptrs_camo_up,,2000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_357,t4_357_camo_up,,1500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
t4_panzerschreck,t4_panzerschreck_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
m2_flamethrower,m2_flamethrower_up,,2500,special,,,,,TRUE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,,
ray_gun,ray_gun_upgraded,,10000,raygun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,
t4_ray_gun,t4_ray_gun_up,,10000,wpck_ray,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,
