weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,is_zcleansed,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,content_restrict,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
pistol_m1911,pistol_m1911_upgraded,,50,pistol,,0,,,FALSE,FALSE,TRUE,0,,FALSE,FALSE,pistol,TRUE,,,
t4_m1911,t4_m1911_up,,100,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
t5_m1911,t5_m1911_rdw_up,,300,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,TRUE,,
cymbal_monkey,cymbal_monkey_upgraded,,2000,monkey,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
cymbal_monkey_upgraded,,,5000,monkey,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
frag_grenade_potato_masher,,,250,grenade,,250,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
knife,,,0,,,0,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
bowie_knife,,,3000,wpck_bowie,,,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
t4_ray_gun,t4_ray_gun_up,,10000,wpck_ray,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,
t4_kar98k,t4_kar98k_up,,200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
t4_kar98k_scope,t4_kar98k_scope_up,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_carbine,t4_carbine_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_thompson,t4_thompson_up,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_db,t4_db_up,,1200,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
t4_db_saw,t4_db_saw_up,,1200,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
t4_m1897,t4_m1897_up,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
t4_bar,t4_bar_up,,1800,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_g43,t4_g43_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_spring,t4_spring_up,,200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_m1,t4_m1_up,,600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_m1garand_rg,t4_m1garand_rg_up,,2250,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_mp44,t4_mp44_up,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_m1919_bipod,t4_m1919_bipod_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_mg42_bipod,t4_mg42_bipod_up,,3000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_fg42,t4_fg42_up,,1800,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
t4_mp40,t4_mp40_up,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
t4_ptrs,t4_ptrs_up,,2000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
t4_357,t4_357_up,,1500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
t4_panzerschreck,t4_panzerschreck_up,,3000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,launcher,TRUE,,
m2_flamethrower,m2_flamethrower_up,,2500,special,,,,,TRUE,FALSE,TRUE,1,,FALSE,TRUE,special,,,
