Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#PowerUps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmbaos_powerup_carpenter_0,,streamed,ori_sam_announcer\vox_zmba_powerup_carpenter_d_0.wav,,,,,,,,bus_voice,grp_voice,snp_never_duck,,0,0,85,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,1,1,100,100,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,zmb_common_vox_vox_zmbaos_powerup_carpenter_0,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmbaos_powerup_instakill_0,,streamed,ori_sam_announcer\vox_zmba_powerup_instakill_d_0.wav,,,,,,,,bus_voice,grp_voice,snp_never_duck,,0,0,85,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,1,1,100,100,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,,no,,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmbaos_powerup_doublepoints_0,,streamed,ori_sam_announcer\vox_zmba_powerup_doublepoints_d_0.wav,,,,,,,,bus_voice,grp_voice,snp_never_duck,,0,0,85,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,1,1,100,100,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,zmb_common_vox_vox_zmbaos_powerup_doublepoints_0,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmbaos_powerup_nuke_0,,streamed,ori_sam_announcer\vox_zmba_powerup_nuke_d_0.wav,,,,,,,,bus_voice,grp_voice,snp_never_duck,,0,0,85,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,1,1,100,100,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,zmb_common_vox_vox_zmbaos_powerup_nuke_0,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmbaos_powerup_maxammo_0,,streamed,ori_sam_announcer\vox_zmba_powerup_maxammo_d_0.wav,,,,,,,,bus_voice,grp_voice,snp_never_duck,,0,0,85,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,1,1,100,100,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,zmb_common_vox_vox_zmbaos_powerup_maxammo_0,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vox_zmbaos_powerup_firesale_0,,streamed,ori_sam_announcer\vox_zmba_powerup_firesale_d_0.wav,,,,,,,,bus_voice,grp_voice,snp_never_duck,,0,0,85,85,0,10000,10000,allon,default,allon,default,8,priority,8,oldest,1,1,100,100,0,1,no,2d,quad,,nonlooping,,1,0,0,0,0,0,no,yes,,0,zmb_common_vox_vox_zmbaos_powerup_firesale_0,no,mature,,,,,,,,yes,no,no,0,0,yes,yes,,,,,no,no,no,yes,,,,,,,,,,,,,800,3000,,no,yes,no,no,no,no,no,,,
