Name,Behavior,Storage,FileSpec,FileSpecSustain,FileSpecRelease,Template,Loadspec,Secondary,SustainAlias,ReleaseAlias,Bus,VolumeGroup,DuckGroup,Duck,ReverbSend,CenterSend,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMinCurve,DryMaxCurve,WetMinCurve,WetMaxCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,AmplitudePriority,PanType,Pan,Futz,Looping,RandomizeType,Probability,StartDelay,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,ContextType,ContextValue,ContextType1,ContextValue1,ContextType2,ContextValue2,ContextType3,ContextValue3,Timescale,IsMusic,IsCinematic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Compression,StopOnPlay,DopplerScale,FutzPatch,VoiceLimit,IgnoreMaxDist,NeverPlayTwice,ContinuousPan,FileSource,FileSourceSustain,FileSourceRelease,FileTarget,FileTargetSustain,FileTargetRelease,Platform,Language,OutputDevices,PlatformMask,WiiUMono,StopAlias,DistanceLpfMin,DistanceLpfMax,FacialAnimationName,RestartContextLoops,SilentInCPZ,ContextFailsafe,GPAD,GPADOnly,MuteVoice,MuteMusic,RowSourceFileName,RowSourceShortName,RowSourceLineNumber
#BO2 Izhmash AK47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_shot_plr,,,skye_ports\t6_ak47\fire\wpn_t6_ak47_shot.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p_shot,,,,80,80,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_shot_npc,,,skye_ports\t6_ak47\fire\wpn_t6_ak47_shot.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_3p,,,,80,80,0,1000,1000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_pap_shot_plr,,,skye_ports\t6_ak47\fire\wpn_t6_ak47_pap_shot.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p_shot,,,,80,80,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_pap_shot_npc,,,skye_ports\t6_ak47\fire\wpn_t6_ak47_pap_shot.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_3p,,,,80,80,0,1000,1000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_bolt_back,,,skye_ports\t6_ak47\foley\wpn_t6_ak47_bolt_back.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p,,,,,,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_bolt_forward,,,skye_ports\t6_ak47\foley\wpn_t6_ak47_bolt_forward.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p,,,,,,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_charge,,,skye_ports\t6_ak47\foley\wpn_t6_ak47_charge.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p,,,,,,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_futz,,,skye_ports\t6_ak47\foley\wpn_t6_ak47_futz.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p,,,,,,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_mag_in,,,skye_ports\t6_ak47\foley\wpn_t6_ak47_mag_in.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p,,,,,,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak47_mag_out,,,skye_ports\t6_ak47\foley\wpn_t6_ak47_mag_out.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p,,,,,,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

#BO2 Izhmash AK74u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak74u_shot_plr,,,skye_ports\t6_ak74u\fire\wpn_t6_ak74u_shot.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_1p_shot,,,,80,80,,,,,,,,,,,,,,,,,,,2d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpn_t6_ak74u_shot_npc,,,skye_ports\t6_ak74u\fire\wpn_t6_ak74u_shot.wav,,,UIN_MOD,,,,,BUS_FX,,snp_wpn_3p,,,,80,80,0,1000,1000,,,,,,,,,,,,,,,,3d,,,NONLOOPING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
